pincode,district,latitude,longitude
141114,LUDHIANA,30.836281,76.214596
141115,LUDHIANA,30.966945,76.203448
141116,LUDHIANA,30.801156,75.0858119
141117,LUDHIANA,41.383682,75.6697668
141118,LUDHIANA,30.7435,75.8524166
141119,LUDHIANA,30.657558,75.976077
141120,LUDHIANA,31.050155,75.654659
141121,LUDHIANA,26.154589,84.463862
141122,LUDHIANA,30.045939,75.101264
141123,LUDHIANA,30.897719,75.971724
141125,LUDHIANA,13.592359,79.281759
141126,LUDHIANA,30.89107,75.87729
141127,LUDHIANA,30.960536,76.057322
141201,LUDHIANA,30.7623611,75.8213055
141202,LUDHIANA,30.722743,75.744417
141203,LUDHIANA,30.771098,75.799643
141204,LUDHIANA,30.603141,76.486672
141205,LUDHIANA,30.666999,75.724065
141206,LUDHIANA,30.119954,76.476552
141401,LUDHIANA,30.7029167,76.2244167
141411,FATEHGARH SAHIB,30.7,76.31
141412,LUDHIANA,30.761482,76.128371
141413,LUDHIANA,30.655883,76.005824
141414,LUDHIANA,30.679098,76.044268
141415,LUDHIANA,30.598655,76.088501
141416,LUDHIANA,30.72355,76.0607472
141417,LUDHIANA,25.127147,83.017003
141418,LUDHIANA,30.834016,76.089951
141419,LUDHIANA,30.716852,75.970998
141421,LUDHIANA,30.786001,76.081976
141422,LUDHIANA,30.813234,75.648448
141801,FATEHGARH SAHIB,30.78,76.3
142001,MOGA,30.815948,75.166847
142002,MOGA,30.86255,75.1945
142003,MOGA,30.86255,75.1945
142011,MOGA,30.771923,75.2074958
142021,LUDHIANA,30.837477,75.739537
142022,LUDHIANA,20.396227,76.00002
142023,LUDHIANA,31.225925,75.350692
142024,LUDHIANA,30.86114,75.513112
142025,LUDHIANA,31.394128,75.074256
142026,LUDHIANA,30.8086944,75.4760278
142027,LUDHIANA,30.8924277,75.7600194
142029,LUDHIANA,30.80594,75.758952
142030,LUDHIANA,35.477606,97.522279
142031,LUDHIANA,30.640218,75.449039
142032,LUDHIANA,30.640137,75.485447
142033,LUDHIANA,30.926066,75.430103
142034,LUDHIANA,30.700519,75.447582
142035,LUDHIANA,30.735696,75.386395
142036,LUDHIANA,30.96905,75.05768
142037,MOGA,30.7435745,75.2030129
142038,MOGA,30.2677025,74.421771
142039,MOGA,30.641157,75.356327
142040,MOGA,31.014,74.93385
142041,MOGA,30.92545,75.32885
142042,MOGA,30.8164693,75.1717003
